baseDate,sido,firstCnt,secondCnt,totalFirstCnt,totalSecondCnt,accumulatedFirstCnt,accumulatedSecondCnt,id,thirdCnt,totalThirdCnt,accumulatedThirdCnt
2022-10-31 00:00:00,경상남도,0.0,1.0,2882919,2853846.0,2882919,2853845.0,10049,5.0,2144968.0,2144963.0
2022-10-31 00:00:00,경상북도,0.0,0.0,2293302,2269650.0,2293302,2269650.0,10048,2.0,1726775.0,1726773.0
2022-10-31 00:00:00,전라남도,0.0,0.0,1655213,1640929.0,1655213,1640929.0,10047,0.0,1364696.0,1364696.0
2022-10-31 00:00:00,전라북도,0.0,0.0,1593898,1581027.0,1593898,1581027.0,10046,0.0,1285471.0,1285471.0
2022-10-31 00:00:00,충청남도,0.0,0.0,1901420,1884004.0,1901420,1884004.0,10045,0.0,1478891.0,1478891.0
2022-10-31 00:00:00,충청북도,0.0,0.0,1430615,1418165.0,1430615,1418165.0,10044,1.0,1108057.0,1108056.0
2022-10-31 00:00:00,강원도,0.0,0.0,1351669,1340459.0,1351669,1340459.0,10043,0.0,1064536.0,1064536.0
2022-10-28 00:00:00,대전광역시,9.0,12.0,1245534,1233440.0,1245525,1233428.0,10022,64.0,908672.0,908608.0
2022-10-28 00:00:00,울산광역시,7.0,9.0,968381,959122.0,968374,959113.0,10021,45.0,720349.0,720304.0
2022-10-28 00:00:00,광주광역시,4.0,3.0,1262212,1250784.0,1262208,1250781.0,10020,49.0,968866.0,968817.0
2022-10-28 00:00:00,인천광역시,6.0,9.0,2573442,2549246.0,2573436,2549237.0,10019,127.0,1913405.0,1913278.0
2022-10-28 00:00:00,대구광역시,7.0,8.0,2018717,1995907.0,2018710,1995899.0,10018,87.0,1404557.0,1404470.0
2022-10-28 00:00:00,부산광역시,12.0,18.0,2880005,2851422.0,2879993,2851404.0,10017,139.0,2139319.0,2139180.0
2022-10-28 00:00:00,서울특별시,31.0,54.0,8336997,8259306.0,8336966,8259252.0,10016,570.0,6071788.0,6071218.0
2022-10-28 00:00:00,전국,173.0,262.0,45120106,44689581.0,45119933,44689319.0,10015,2089.0,33649178.0,33647089.0
2022-10-28 00:00:00,세종특별자치시,3.0,2.0,300206,296494.0,300203,296492.0,10023,7.0,210737.0,210730.0
2022-10-28 00:00:00,경기도,51.0,62.0,11834813,11720719.0,11834762,11720657.0,10024,583.0,8700088.0,8699505.0
2022-10-28 00:00:00,제주특별자치도,0.0,3.0,590874,585249.0,590874,585246.0,10032,20.0,438736.0,438716.0
2022-10-28 00:00:00,경상남도,5.0,16.0,2882880,2853795.0,2882875,2853779.0,10031,121.0,2144708.0,2144587.0
2022-10-28 00:00:00,경상북도,9.0,16.0,2293343,2269682.0,2293334,2269666.0,10030,72.0,1726697.0,1726625.0
